Scenario,Pattern,Strength_pct,Algorithm,TrialIndex,R_task,R_time,CRI,throughputRecovery,feasibilityRate,completionRate,failedRate,meanCompletionTime
small,random,20,SROM,1,0.771084337349398,0,0.385542168674699,0.4,0.675,0.675,0.325,185.333333333333
small,random,20,SROM,2,0.735735735735736,0,0.367867867867868,0.272727272727273,0.65,0.65,0.35,183.884615384615
small,random,20,SROM,3,0.763473053892216,0,0.381736526946108,0.416666666666667,0.675,0.675,0.325,189.037037037037
small,random,20,SROM,4,0.72809667673716,0,0.36404833836858,0.111111111111111,0.6375,0.6375,0.3625,179.725490196078
small,random,20,SROM,5,0.751515151515151,0,0.375757575757576,0.25,0.6625,0.6625,0.3375,183.830188679245
small,random,20,SROM,6,0.732732732732733,0,0.366366366366366,0.181818181818182,0.6375,0.6375,0.3625,180.745098039216
small,random,20,SROM,7,0.774096385542169,0,0.387048192771084,0.5,0.675,0.675,0.325,187.259259259259
small,random,20,SROM,8,0.756838905775076,0,0.378419452887538,0.142857142857143,0.675,0.675,0.325,185.222222222222
small,random,20,SROM,9,0.711309523809524,0,0.355654761904762,0.214285714285714,0.6375,0.6375,0.3625,186.137254901961
small,random,20,SROM,10,0.766666666666667,0,0.383333333333333,0.375,0.675,0.675,0.325,185.962962962963
small,random,20,Hungarian (Ours),1,0.727554179566563,0.513513513513513,0.620533846540039,1,0.65,0.65,0.35,175.807692307692
small,random,20,Hungarian (Ours),2,0.668730650154799,1,0.834365325077399,1,0.6,0.6,0.4,155.291666666667
small,random,20,Hungarian (Ours),3,0.69969040247678,1,0.84984520123839,1,0.6125,0.6125,0.3875,169.591836734694
small,random,20,Hungarian (Ours),4,0.693498452012384,1,0.846749226006192,1,0.625,0.625,0.375,163.14
small,random,20,Hungarian (Ours),5,0.743034055727554,1,0.871517027863777,1,0.675,0.675,0.325,177.833333333333
small,random,20,Hungarian (Ours),6,0.656346749226006,1,0.828173374613003,1,0.5875,0.5875,0.4125,152
small,random,20,Hungarian (Ours),7,0.712074303405573,1,0.856037151702786,1,0.6375,0.6375,0.3625,174.274509803922
small,random,20,Hungarian (Ours),8,0.724458204334365,1,0.862229102167183,1,0.65,0.65,0.35,175.461538461538
small,random,20,Hungarian (Ours),9,0.631578947368421,1,0.815789473684211,1,0.575,0.575,0.425,148.5
small,random,20,Hungarian (Ours),10,0.712074303405573,1,0.856037151702786,1,0.6375,0.6375,0.3625,176.705882352941
small,random,30,RRAM,1,0.495356037151703,1,0.747678018575851,1,0.5,0.5,0.5,196.85
small,random,30,RRAM,2,0.495356037151703,1,0.747678018575851,1,0.5,0.5,0.5,196.85
small,random,30,RRAM,3,0.44047619047619,0.439285714285714,0.439880952380952,0.285714285714286,0.475,0.475,0.525,186.394736842105
small,random,30,RRAM,4,0.43452380952381,0,0.217261904761905,0,0.4625,0.4625,0.5375,186.324324324324
small,random,30,RRAM,5,0.383098591549296,0.346153846153846,0.364626218851571,0.303030303030303,0.45,0.45,0.55,180.666666666667
small,random,30,RRAM,6,0.437125748502994,0,0.218562874251497,0,0.4625,0.4625,0.5375,186.324324324324
small,random,30,RRAM,7,0.495356037151703,1,0.747678018575851,1,0.5,0.5,0.5,196.85
