Scenario,Pattern,Strength_pct,Algorithm,R_task_Mean,R_task_Std,R_time_Mean,R_time_Std,CRI_Mean,CRI_Std,throughputRecovery_Mean,throughputRecovery_Std,feasibilityRate_Mean,feasibilityRate_Std,completionRate_Mean,completionRate_Std,failedRate_Mean,failedRate_Std,meanCompletionTime_Mean,meanCompletionTime_Std
large,directed,20,Hungarian (Ours),0.6498,0.0133,0.6269,0.0606,0.6384,0.0335,0.3189,0.2614,0.6533,0.009,0.6533,0.009,0.3467,0.009,133.0802,1.1949
large,directed,20,SABR,0.7625,0.0172,0.6269,0.0606,0.6947,0.0329,0.4155,0.3188,0.7608,0.018,0.7608,0.018,0.2392,0.018,146.3757,3.5592
large,directed,30,RRAM,0.3159,0.0421,0.4658,0.0541,0.3908,0.046,0.1516,0.1366,0.3242,0.0361,0.3242,0.0361,0.6758,0.0361,127.7318,8.3155
large,directed,30,BDTR,0.6677,0.0208,0.5057,0.0364,0.5867,0.0229,0.0479,0.0478,0.635,0.0183,0.635,0.0183,0.365,0.0183,163.4028,3.4473
large,directed,30,SROM,0.5892,0.0383,0.5401,0.0387,0.5647,0.0218,0.0127,0.0275,0.5117,0.0292,0.5117,0.0292,0.4883,0.0292,148.6344,3.8085
large,directed,30,Hungarian (Ours),0.6106,0.0211,0.5401,0.0387,0.5753,0.0124,0.0816,0.0411,0.6267,0.0192,0.6267,0.0192,0.3733,0.0192,128.7192,2.6914
large,directed,30,SABR,0.7554,0.0261,0.5401,0.0387,0.6477,0.0182,0.2324,0.0828,0.7625,0.0189,0.7625,0.0189,0.2375,0.0189,147.0758,3.3716
large,directed,40,RRAM,0.2687,0.0241,0.5632,0.0602,0.416,0.028,0.0361,0.0473,0.2833,0.0245,0.2833,0.0245,0.7167,0.0245,118.3784,6.5278
large,directed,40,BDTR,0.6032,0.0222,0.5796,0.0823,0.5914,0.0442,0.0425,0.0343,0.5883,0.0193,0.5883,0.0193,0.4117,0.0193,155.5149,4.043
large,directed,40,SROM,0.4688,0.0602,0.5965,0.0897,0.5327,0.0414,0,0,0.4133,0.0467,0.4133,0.0467,0.5867,0.0467,129.7954,9.3888
large,directed,40,Hungarian (Ours),0.57,0.0121,0.5796,0.0823,0.5748,0.0412,0.0629,0.0582,0.5908,0.01,0.5908,0.01,0.4092,0.01,123.1926,3.5782
large,directed,40,SABR,0.6996,0.0129,0.5796,0.0823,0.6396,0.0387,0.1238,0.0799,0.7158,0.0127,0.7158,0.0127,0.2842,0.0127,139.8876,2.999
