Scenario,Algorithm,RunIndex,R_task,R_time,CRI,throughputRecovery,feasibilityRate,completionRate,failedRate,meanCompletionTime
small,RRAM,38,0.495356037151703,0.616959064327485,0.556157550739594,1,0.5,0.5,0.5,190.675
small,RRAM,39,0.4,0.411347517730496,0.405673758865248,0,0.425,0.425,0.575,164.764705882353
small,RRAM,40,0.580924855491329,0.944162436548223,0.762543646019776,0.375,0.6,0.6,0.4,209.708333333333
small,RRAM,41,0.488165680473373,0.638225255972696,0.563195468223034,0.3125,0.5125,0.5125,0.4875,198.292682926829
small,RRAM,42,0.532507739938081,0.989655172413793,0.761081456175937,1,0.5625,0.5625,0.4375,198.2
small,RRAM,43,0.326409495548961,0.767025089605735,0.546717292577348,0,0.3625,0.3625,0.6375,143.068965517241
small,RRAM,44,0.423076923076923,0.642424242424242,0.532750582750583,0.3125,0.4375,0.4375,0.5625,158.228571428571
small,RRAM,45,0.336283185840708,0.512968299711816,0.424625742776262,0,0.3625,0.3625,0.6375,183.310344827586
small,RRAM,46,0.43026706231454,0.645484949832776,0.537876006073658,0.2,0.4625,0.4625,0.5375,161.675675675676
small,RRAM,47,0.417910447761194,0.479623824451411,0.448767136106302,0,0.45,0.45,0.55,161.111111111111
small,RRAM,48,0.492625368731563,0.588075880758808,0.540350624745185,0.294117647058824,0.4875,0.4875,0.5125,182.923076923077
small,RRAM,49,0.356940509915014,0.372727272727273,0.364833891321143,0,0.3875,0.3875,0.6125,161.225806451613
small,RRAM,50,0.350282485875706,0.481375358166189,0.415828922020948,0.25,0.4,0.4,0.6,163.5
small,RRAM,51,0.417910447761194,0.99009900990099,0.704004728831092,0,0.45,0.45,0.55,182.166666666667
small,RRAM,52,0.403954802259887,0.525,0.464477401129944,0.28125,0.4625,0.4625,0.5375,172.837837837838
small,RRAM,53,0.396449704142012,0.560126582278481,0.478288143210246,0,0.4125,0.4125,0.5875,183.242424242424
small,RRAM,54,0.293785310734463,0.403846153846154,0.348815732290309,0,0.325,0.325,0.675,133
